id,category,prompt
1,Meetings,"Title: Agenda that drives decisions
Role: Senior Operations Manager / Facilitator
Task: Create a decision-focused agenda for a meeting that must conclude with clear decisions and owners.
Inputs (paste and fill):
- Meeting purpose (1 sentence): [ ]
- Attendees + roles: [ ]
- Decisions needed: [ ]
- Pre-reads / data links: [ ]
- Timebox (mins): [ ]
- Constraints (e.g., remote/in-person): [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include timeboxes per section
- Include 'decision criteria' for each decision item
Output (Markdown):
- Agenda table (time, topic, owner, desired outcome)
- Decision items section (decision, options, criteria)
- Pre-work checklist for attendees
- Parking lot section
Finish with a short QA checklist tailored to this output."
2,Meetings,"Title: Minutes + decision log from rough notes
Role: Ops Manager / Scribe
Task: Turn messy notes into clean minutes and a decision log that can be shared immediately.
Inputs (paste and fill):
- Raw notes (paste): [ ]
- Date/time/location: [ ]
- Attendees: [ ]
- Any action items already known: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Do not invent facts; mark unknowns as [TBD]
Output (Markdown):
- Minutes (summary, discussion highlights)
- Decisions log (decision, rationale, owner, due date)
- Actions table (action, owner, due date, dependency)
Finish with a short QA checklist tailored to this output."
3,Meetings,"Title: Exec-ready meeting brief (one-pager)
Role: Chief of Staff style
Task: Create a one-page pre-read briefing for an exec meeting, optimised for speed of understanding.
Inputs (paste and fill):
- Topic: [ ]
- Background context (paste): [ ]
- Key metrics/data (paste): [ ]
- Options on the table: [ ]
- Recommendation (if any): [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Maximum 1 page in Markdown
- Use 'So what?' framing
Output (Markdown):
- Headline + decision required
- Context (3–5 bullets)
- Options (pros/cons)
- Recommendation
- Risks & mitigations
- Appendix: key numbers
Finish with a short QA checklist tailored to this output."
4,Meetings,"Title: Meeting invite message that gets attendance
Role: Team Lead
Task: Write a concise invite message that makes it obvious why the meeting matters and what preparation is required.
Inputs (paste and fill):
- Audience: [ ]
- Meeting objective: [ ]
- Date/time: [ ]
- Expected prep (if any): [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Keep under 180 words
Output (Markdown):
- Subject line options (3)
- Invite message
- Prep checklist
- If you can't attend: async alternatives
Finish with a short QA checklist tailored to this output."
5,Meetings,"Title: Workshop plan (90–120 mins)
Role: Facilitator
Task: Design a structured workshop to solve a specific operational problem and leave with an agreed plan.
Inputs (paste and fill):
- Problem statement: [ ]
- Participants: [ ]
- Current constraints: [ ]
- Success definition: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include activities and timing
- Include materials needed
Output (Markdown):
- Workshop agenda with activities
- Facilitation script cues
- Outputs to capture (artefacts)
- Follow-up plan (48h + 7d)
Finish with a short QA checklist tailored to this output."
6,Meetings,"Title: Difficult conversation meeting plan
Role: People Manager
Task: Prepare a plan for a difficult 1:1 meeting (performance, behaviour, or expectations) that is fair and clear.
Inputs (paste and fill):
- Situation summary (facts only): [ ]
- Desired change: [ ]
- Employee perspective (if known): [ ]
- Policies/constraints: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Use respectful tone
- Include boundary statements
Output (Markdown):
- Opening script
- Facts vs impact
- Questions to ask
- Agreements & next steps
- Documentation notes
Finish with a short QA checklist tailored to this output."
7,Meetings,"Title: Decision memo after meeting
Role: Ops Manager
Task: Write a post-meeting decision memo that documents what was decided and why, to prevent re-litigating later.
Inputs (paste and fill):
- Decision(s) made: [ ]
- Rationale: [ ]
- Alternatives considered: [ ]
- Owners/dates: [ ]
- Stakeholders to inform: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
Output (Markdown):
- Decision memo
- Actions + owners + dates
- Comms list + message snippets
Finish with a short QA checklist tailored to this output."
8,Meetings,"Title: Stand-up format redesign
Role: Agile team lead
Task: Redesign a daily stand-up so it is fast, useful, and not a status theatre.
Inputs (paste and fill):
- Team type: [ ]
- Current stand-up issues: [ ]
- Time available: [ ]
- Work tracking tool: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include a 2-week experiment plan
Output (Markdown):
- New stand-up script (timeboxed)
- Rules of engagement
- Escalation/parking lot method
- Experiment metrics + review cadence
Finish with a short QA checklist tailored to this output."
9,Meetings,"Title: Retrospective facilitation pack
Role: Facilitator
Task: Create a retrospective plan that surfaces real issues and produces actionable improvements.
Inputs (paste and fill):
- Sprint/period: [ ]
- What happened (high-level): [ ]
- Team sentiment: [ ]
- Constraints (remote etc.): [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include psychological safety measures
Output (Markdown):
- Retro agenda
- Prompt questions
- Activity instructions
- Action selection method
- Close-out script
Finish with a short QA checklist tailored to this output."
10,Meetings,"Title: Stakeholder meeting Q&A prep
Role: Ops lead
Task: Prepare a Q&A pack anticipating tough stakeholder questions and best answers.
Inputs (paste and fill):
- Stakeholder group: [ ]
- Topic: [ ]
- Known concerns: [ ]
- Data/metrics: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include 'answer if asked' vs 'avoid unless asked'
Output (Markdown):
- Top 15 questions
- Best answer + supporting evidence
- Red flags + safe phrasing
- Follow-up actions if challenged
Finish with a short QA checklist tailored to this output."
11,Meetings,"Title: Meeting to unblock a project
Role: Project lead
Task: Plan and run a meeting designed to remove blockers and re-align owners.
Inputs (paste and fill):
- Project summary: [ ]
- Current blockers: [ ]
- Decision needed: [ ]
- Attendees: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
Output (Markdown):
- Agenda focused on blockers
- Blocker table (issue, owner, decision, due date)
- Escalation path
- Post-meeting message
Finish with a short QA checklist tailored to this output."
12,Meetings,"Title: 1:1 template for ongoing coaching
Role: Line manager
Task: Create a repeatable 1:1 structure that supports coaching, alignment, and accountability.
Inputs (paste and fill):
- Role/level: [ ]
- Current goals: [ ]
- Known issues: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include a section for wellbeing
Output (Markdown):
- 1:1 agenda template
- Question bank
- Follow-up notes structure
Finish with a short QA checklist tailored to this output."
13,Meetings,"Title: Cross-team alignment meeting design
Role: Programme manager
Task: Design a cross-team alignment meeting that clarifies interfaces, dependencies, and handoffs.
Inputs (paste and fill):
- Teams involved: [ ]
- Shared goal: [ ]
- Dependencies: [ ]
- Known friction points: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include RACI and interface definition
Output (Markdown):
- Agenda
- Interface map section
- RACI table
- Dependency log
- Operating cadence proposal
Finish with a short QA checklist tailored to this output."
14,Meetings,"Title: Meeting cancellation / reschedule message
Role: Team lead
Task: Write a message that cancels or reschedules without losing momentum.
Inputs (paste and fill):
- Meeting name: [ ]
- Reason (optional): [ ]
- New proposal: [ ]
- What to do instead: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Keep concise
Output (Markdown):
- Message
- Async alternative
- Next steps + dates
Finish with a short QA checklist tailored to this output."
15,Meetings,"Title: Facilitator opening + closing scripts
Role: Facilitator
Task: Write opening and closing scripts that set expectations, keep pace, and end with clarity.
Inputs (paste and fill):
- Meeting type: [ ]
- Outcome needed: [ ]
- Sensitive topics (if any): [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
Output (Markdown):
- Opening script
- Timekeeping cues
- Decision capture phrasing
- Closing script + recap
Finish with a short QA checklist tailored to this output."
16,Meetings,"Title: Conflict mediation meeting plan
Role: Mediator
Task: Create a mediation meeting plan for two parties in conflict, with structure and safety.
Inputs (paste and fill):
- Parties + roles: [ ]
- Conflict summary (facts): [ ]
- Shared objective: [ ]
- Non-negotiables: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Include ground rules and escalation
Output (Markdown):
- Ground rules
- Agenda
- Questions for each party
- Agreement framework
- Documenting outcomes
Finish with a short QA checklist tailored to this output."
17,Meetings,"Title: Executive update in 5 minutes
Role: Ops manager
Task: Prepare a 5-minute spoken update and a supporting slide outline (text only).
Inputs (paste and fill):
- Topic: [ ]
- Status: [ ]
- Metrics: [ ]
- Risks: [ ]
- Ask: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Make it 'headline-first'
Output (Markdown):
- Spoken script (5 mins)
- Slide outline (max 5 slides)
- Likely questions + answers
Finish with a short QA checklist tailored to this output."
18,Meetings,"Title: Action tracker system
Role: Ops lead
Task: Design a lightweight action tracker process for meeting actions so they don't disappear.
Inputs (paste and fill):
- Tooling available (Sheets/Jira/Notion): [ ]
- Team size: [ ]
- Cadence: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
Output (Markdown):
- Action tracker template
- Operating rules
- Reminder cadence
- Definition of done
Finish with a short QA checklist tailored to this output."
19,Meetings,"Title: Pre-mortem meeting plan
Role: Facilitator
Task: Plan a pre-mortem meeting to identify how a project could fail and prevent it.
Inputs (paste and fill):
- Project: [ ]
- Timeline: [ ]
- Constraints: [ ]
- Stakeholders: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
Output (Markdown):
- Agenda
- Prompt questions
- Risk capture format
- Output: top mitigations + owners
Finish with a short QA checklist tailored to this output."
20,Meetings,"Title: Decision matrix creation
Role: Ops analyst
Task: Create a decision matrix for competing options, with weights and scoring guidance.
Inputs (paste and fill):
- Decision to make: [ ]
- Options: [ ]
- Criteria: [ ]
- Weights preferences: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Explain how to score fairly
Output (Markdown):
- Decision matrix table
- Scoring instructions
- Recommendation logic
- Sensitivity check steps
Finish with a short QA checklist tailored to this output."
21,Meetings,"Title: Meeting follow-up email that drives action
Role: Team lead
Task: Write a follow-up email that summarises outcomes and makes next actions unavoidable.
Inputs (paste and fill):
- Audience: [ ]
- Key outcomes: [ ]
- Actions + owners: [ ]
- Deadlines: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Use an actions table
Output (Markdown):
- Email
- Actions table
- Decision recap
- Next checkpoint
Finish with a short QA checklist tailored to this output."
22,Meetings,"Title: Async meeting alternative
Role: Ops manager
Task: Convert a proposed meeting into an async workflow (doc + comments) to save time.
Inputs (paste and fill):
- Topic: [ ]
- Decisions needed: [ ]
- Stakeholders: [ ]
- Deadline: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
Output (Markdown):
- Async plan (steps + timeline)
- Doc template outline
- Commenting rules
- Escalation to live call criteria
Finish with a short QA checklist tailored to this output."
23,Meetings,"Title: Meeting effectiveness audit
Role: Ops excellence
Task: Audit a team's recurring meeting and propose improvements with measurable success criteria.
Inputs (paste and fill):
- Meeting name + cadence: [ ]
- Current agenda (paste): [ ]
- Pain points: [ ]
- Attendee feedback (if any): [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
Output (Markdown):
- Audit findings
- Top changes (quick wins + structural)
- New agenda
- Success metrics + review date
Finish with a short QA checklist tailored to this output."
24,Meetings,"Title: Crisis call runbook (first 60 minutes)
Role: Incident lead
Task: Create a runbook for the first 60 minutes of a crisis call: roles, comms, decisions, cadence.
Inputs (paste and fill):
- Scenario type: [ ]
- Systems/areas affected: [ ]
- Stakeholders: [ ]
Constraints:
- UK English
- Plain language (no jargon)
- State assumptions explicitly
- Use headings and bullet points where helpful
- Assume high pressure; keep ultra clear
Output (Markdown):
- Roles (incident lead, scribe, comms etc.)
- Minute-by-minute plan
- Comms templates (internal/external)
- Decision checklist
Finish with a short QA checklist tailored to this output."
