"id","category","prompt"
"1","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"2","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"3","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"4","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"5","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"6","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"7","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"8","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"9","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
"10","Meetings","PURPOSE
You are solving a single, clearly defined professional task. Focus only on this task. Do not combine it with adjacent or conditional tasks.

ROLE & BIAS
Act as an experienced professional in this domain. Prioritise clarity, correctness, and decision-traceability over speed or stylistic flair.

TASK
Produce the required artefact described below. If information is missing, explicitly list assumptions before proceeding.

REASONING MODE
Before producing the final output, reason step-by-step to determine structure, trade-offs, and risks. Summarise key reasoning briefly.

OUTPUT CONTRACT
- Use UK English
- Use plain, precise language
- Use a clear, structured format suitable for immediate professional use
- Do not invent facts; mark unknowns as [TBD]

STRUCTURE (MANDATORY)
1. Short context summary
2. Key assumptions
3. Main output (tables/bullets as appropriate)
4. Risks or edge cases (if applicable)
5. Final QA checklist

SELF-CHECK
After completing the output, verify that:
- The task has been fully answered
- The structure matches the contract
- No unnecessary content has been added"
